"","X","logFC","logCPM","PValue","FDR","gene.name"
"9233","KH2013:KH.C1.17",0.102102845493022,8.01935414440621,0.663090686798203,1,"TRNAU1AP"
"9234","KH2013:KH.C7.558",-0.700813603582242,0.387745474609009,0.663125096898635,1,"KH2013:KH.C7.558"
"9235","KH2013:KH.C14.493",-0.170036316154169,4.86155550841532,0.663173384145671,1,"TRAPPC6B"
"9236","KH2013:KH.S1904.1",-0.695639769367522,-1.68633859835745,0.663197931311091,1,"KH2013:KH.S1904.1"
"9237","KH2013:KH.L10.30",-0.107789647554408,6.10399994276976,0.663211746493353,1,"MARC1/2"
"9238","KH2013:KH.S563.4",0.774591523618136,-1.34925847859401,0.663244282631282,1,"KH2013:KH.S563.4_BARHL1/2"
"9239","KH2013:KH.C7.680",0.532371077488916,0.884493709092746,0.663281706104695,1,"KH2013:KH.C7.680_STAB1/2"
"9240","KH2013:KH.S776.2",0.222040084414851,3.59120221424649,0.663373341439775,1,"GAS8"
"9241","KH2013:KH.C2.23",-0.194754832378518,4.16852202757283,0.663377769443041,1,"ZNF704"
"9242","KH2013:KH.L41.38",0.115307138429704,5.84321551490514,0.663490270919813,1,"AKR1B1/10/15/3"
"9243","KH2013:KH.C3.690",0.105564762732204,7.65630010248388,0.663607316877976,1,"NAF1"
"9244","KH2013:KH.S1826.2",-0.18044161500881,4.29296120061247,0.663705106564352,1,"NADK"
"9245","KH2013:KH.L134.15",0.43229522893824,1.47773161895184,0.663760574672312,1,"KH2013:KH.L134.15_UNC93A"
"9246","KH2013:KH.L126.3",-0.764321194122807,-0.499023583691983,0.663832333807377,1,"KH2013:KH.L126.3"
"9247","KH2013:KH.C5.189",0.101989437508602,6.34974228756433,0.663832847866671,1,"KH2013:KH.C5.189_ALS2CR8"
"9248","KH2013:KH.S1172.2",0.209815196154999,3.77641933428852,0.663925084439061,1,"KH2013:KH.S1172.2"
"9249","KH2013:KH.C2.1042",-0.277966059102435,3.31023358063232,0.663952532378943,1,"C16ORF57"
"9250","KH2013:KH.C5.159",0.51385311314186,-0.312984885931214,0.663991110982294,1,"KH2013:KH.C5.159"
"9251","KH2013:KH.C10.604",0.123738338739763,5.75185402913271,0.664199102878196,1,"HBL-1"
"9252","KH2013:KH.L84.6",0.102418213204499,9.12745318799212,0.664226307761355,1,"COPB2"
"9253","KH2013:KH.C12.679",-0.491113605893696,2.43343582375755,0.664433414628883,1,"KH2013:KH.C12.679_CLEC-10/11/12/13/15/17/18"
"9254","KH2013:KH.C2.1076",-0.734610815623884,-1.68080250341874,0.664454894596002,1,"KH2013:KH.C2.1076"
"9255","KH2013:KH.S675.6",-0.204418025907323,3.81591369702688,0.664746535491567,1,"CG42382"
